#{"t_start": 1679332203.2147703, "env_id": null}
r,l,t
-93.996743,1450,1.271584
-2.360808,104,1.359005
0.068131,36,1.388789
-1,28,1.412643
0.129021,23,1.432542
-0.922968,23,1.450446
-1,11,1.459216
-1.462785,17,1.47487
-1,13,1.484561
-1,17,1.499708
-1,7,1.504838
-1,15,1.517311
-1.008777,12,1.528451
-1.1,35,1.557369
-1,13,1.567
-2.328885,82,1.636543
-1,18,1.650338
-1.1,27,1.673816
-1,15,1.686162
-1.1,29,1.708622
-1.399929,45,1.754614
-1,22,1.774475
-1,23,1.79337
-1,17,1.810203
-1,31,1.836753
-1,13,1.848764
-1,14,1.859365
-0.54194,18,1.875762
-0.549413,42,1.910487
-1,9,1.91846
-0.353249,30,1.94339
-1,26,1.964613
-1,16,1.979275
-1,19,1.993519
-1,38,2.025656
-1,14,2.037728
-1.080589,24,2.058103
-1,23,2.076418
-1,12,2.087617
-1.261138,29,2.110605
-1,26,2.133707
-1,26,2.154919
-1,7,2.160052
-1,14,2.172024
-1.1,37,2.201723
-1.077629,16,2.216847
-1,25,2.237633
-1,15,2.250095
-1,40,2.282893
-1,21,2.299814
-1,23,2.317621
-1,9,2.325466
-1,56,2.371003
-1,35,2.399731
-0.663804,24,2.419992
-1,22,2.439331
-1,23,2.457234
-1,13,2.468915
-1,21,2.486321
-1,24,2.507663
-1,18,2.522189
-1,40,2.555329
-1,31,2.590211
-1,15,2.602829
-1,16,2.615989
-1,21,2.633453
-1.1,52,2.675773
-1,23,2.695558
-1,23,2.715333
-1,24,2.733621
-1,28,2.757453
-1,24,2.777625
-0.968422,13,2.787385
-1,22,2.806964
-1,28,2.828885
-1.199985,47,2.868776
-1,12,2.877958
-1,18,2.893498
-1,16,2.907913
-1,12,2.917158
-1,17,2.932333
-1,19,2.948397
-1,17,2.961654
-1,22,2.978983
-1,24,2.999075
