#{"t_start": 1679327803.3410318, "env_id": null}
r,l,t
-111.147972,1500,0.336107
-118.812187,1500,0.661042
-119.317216,1500,0.986687
-113.558636,1500,1.308274
-118.630745,1500,1.632491
-120.867437,1500,1.955218
-118.143108,1500,2.277437
-116.475294,1500,2.596437
-121.092694,1500,2.917827
-118.427436,1500,3.234059
-66.803607,867,3.417451
-101.548483,1275,3.690276
-117.950922,1500,4.008976
-13.460808,178,4.046943
-116.631107,1500,4.37355
-106.255652,1377,4.663575
-115.798669,1500,4.98815
-109.44232,1500,5.308053
-3.21175,31,5.314575
-70.267326,907,5.510739
-115.070185,1500,5.832697
-119.098759,1500,6.152408
-120.153118,1500,6.472809
-114.656655,1500,6.789352
-63.196791,841,6.967674
-110.687029,1500,7.283693
-117.402425,1500,7.60902
-0.518558,16,7.612404
-114.887737,1500,7.931166
-116.309004,1500,8.253646
-119.963919,1500,8.569808
-55.411922,718,8.727291
-115.634774,1500,9.0466
-31.578751,388,9.129852
-117.036529,1500,9.451782
-120.632175,1500,9.769035
-118.069912,1500,10.088969
-114.821214,1500,10.410073
-3.903956,32,10.822039
-3.6,27,10.842972
-3.536115,27,10.860263
-4.574088,37,10.873614
-2.892659,20,10.880905
-6.190527,58,10.90173
-3.321705,25,10.910804
-3.1,22,10.918729
-2.223312,23,10.927108
-3.91309,34,10.939323
